
PLAYER	TEAM	DATE	MATCHUP	W/L	MIN	PTS	FGM	FGA	FG%	3PM	3PA	3P%	FTM	FTA	FT%	OREB	DREB	REB	AST	STL	BLK	TOV	PF	+/-
Tarik Black	HOU	04/23/2018	HOU @ MIN	W	2	0	0	0	-	0	0	-	0	0	-	0	1	1	0	0	0	0	0	0
Karl-Anthony Towns	MIN	04/23/2018	MIN vs. HOU	L	32	22	9	15	60.0	0	2	0.0	4	6	66.7	5	10	15	2	0	0	5	3	-13
Jae Crowder	UTA	04/23/2018	UTA vs. OKC	W	28	6	2	10	20.0	1	4	25.0	1	2	50.0	1	6	7	3	3	0	3	3	9
Eric Gordon	HOU	04/23/2018	HOU @ MIN	W	30	18	6	14	42.9	4	10	40.0	2	2	100.0	0	1	1	2	1	0	0	0	1
Derrick Rose	MIN	04/23/2018	MIN vs. HOU	L	32	17	7	11	63.6	2	2	100.0	1	2	50.0	0	6	6	4	0	0	4	2	6
Patrick Patterson	OKC	04/23/2018	OKC @ UTA	L	12	0	0	1	0.0	0	1	0.0	0	0	-	0	4	4	2	0	0	0	1	1
Nene	HOU	04/23/2018	HOU @ MIN	W	14	4	1	3	33.3	0	0	-	2	3	66.7	1	4	5	2	0	0	1	1	19
Gerald Green	HOU	04/23/2018	HOU @ MIN	W	16	2	0	3	0.0	0	3	0.0	2	2	100.0	1	3	4	0	0	0	2	1	-4
Alec Burks	UTA	04/23/2018	UTA vs. OKC	W	1	0	0	1	0.0	0	1	0.0	0	0	-	0	0	0	0	0	0	0	0	-3
Clint Capela	HOU	04/23/2018	HOU @ MIN	W	32	14	6	11	54.5	0	0	-	2	4	50.0	7	10	17	3	0	4	1	2	0
Royce O'Neale	UTA	04/23/2018	UTA vs. OKC	W	20	10	3	5	60.0	2	3	66.7	2	2	100.0	3	6	9	0	0	1	0	4	1
Dakari Johnson	OKC	04/23/2018	OKC @ UTA	L	1	0	0	0	-	0	0	-	0	0	-	0	0	0	0	0	0	0	0	3
Andrew Wiggins	MIN	04/23/2018	MIN vs. HOU	L	29	14	5	14	35.7	1	5	20.0	3	4	75.0	0	3	3	1	0	0	1	2	-30
James Harden	HOU	04/23/2018	HOU @ MIN	W	33	36	12	26	46.2	5	11	45.5	7	7	100.0	0	4	4	3	4	1	1	4	21
Aaron Brooks	MIN	04/23/2018	MIN vs. HOU	L	2	4	2	2	100.0	0	0	-	0	2	0.0	0	0	0	0	0	0	0	0	0
Ryan Anderson	HOU	04/23/2018	HOU @ MIN	W	17	0	0	3	0.0	0	3	0.0	0	0	-	0	1	1	1	0	0	0	2	-2
Joe Ingles	UTA	04/23/2018	UTA vs. OKC	W	30	20	6	12	50.0	5	11	45.5	3	5	60.0	0	3	3	4	1	1	1	2	15
PJ Tucker	HOU	04/23/2018	HOU @ MIN	W	24	3	1	3	33.3	1	2	50.0	0	0	-	0	4	4	0	0	1	0	1	26
Marcus Georges-Hunt	MIN	04/23/2018	MIN vs. HOU	L	2	0	0	1	0.0	0	0	-	0	0	-	1	0	1	0	0	0	0	0	0
Jamal Crawford	MIN	04/23/2018	MIN vs. HOU	L	24	10	4	10	40.0	1	2	50.0	1	2	50.0	0	2	2	4	3	0	2	3	6
Raymond Felton	OKC	04/23/2018	OKC @ UTA	L	15	2	1	5	20.0	0	2	0.0	0	2	0.0	0	1	1	1	1	0	2	3	-6
Ekpe Udoh	UTA	04/23/2018	UTA vs. OKC	W	1	0	0	0	-	0	0	-	0	2	0.0	0	0	0	0	0	0	0	0	-3
Jimmy Butler	MIN	04/23/2018	MIN vs. HOU	L	38	19	7	17	41.2	1	4	25.0	4	5	80.0	2	7	9	5	0	0	1	2	-13
Ricky Rubio	UTA	04/23/2018	UTA vs. OKC	W	34	13	4	12	33.3	1	6	16.7	4	5	80.0	1	5	6	8	1	1	4	2	22
Taj Gibson	MIN	04/23/2018	MIN vs. HOU	L	20	2	1	1	100.0	0	0	-	0	0	-	1	2	3	0	0	0	0	1	-24
Chris Paul	HOU	04/23/2018	HOU @ MIN	W	34	25	9	17	52.9	3	5	60.0	4	4	100.0	1	5	6	6	5	0	1	1	11
Derrick Favors	UTA	04/23/2018	UTA vs. OKC	W	33	13	6	9	66.7	0	0	-	1	2	50.0	1	3	4	0	1	2	0	2	15
Corey Brewer	OKC	04/23/2018	OKC @ UTA	L	22	3	1	2	50.0	1	2	50.0	0	0	-	0	0	0	0	1	1	0	3	-13
Domantas Sabonis	IND	04/22/2018	IND vs. CLE	L	25	19	9	12	75.0	1	1	100.0	0	1	0.0	3	3	6	0	0	0	2	1	0
Otto Porter Jr.	WAS	04/22/2018	WAS vs. TOR	W	40	12	4	8	50.0	2	3	66.7	2	4	50.0	1	5	6	1	1	2	1	1	9
Kyle Anderson	SAS	04/22/2018	SAS vs. GSW	W	19	10	4	4	100.0	0	0	-	2	2	100.0	0	3	3	0	0	1	0	2	9
Ian Mahinmi	WAS	04/22/2018	WAS vs. TOR	W	8	4	2	3	66.7	0	0	-	0	0	-	1	2	3	0	0	2	0	1	-5
Larry Nance Jr.	CLE	04/22/2018	CLE @ IND	W	16	6	2	4	50.0	0	0	-	2	2	100.0	1	2	3	0	2	1	1	0	-2
Tyler Zeller	MIL	04/22/2018	MIL vs. BOS	W	11	4	1	2	50.0	0	0	-	2	2	100.0	0	4	4	1	1	2	0	4	-6
LeBron James	CLE	04/22/2018	CLE @ IND	W	46	32	12	22	54.5	0	5	0.0	8	9	88.9	2	11	13	7	0	2	1	3	3
Greg Monroe	BOS	04/22/2018	BOS @ MIL	L	5	0	0	1	0.0	0	0	-	0	0	-	1	1	2	0	0	0	1	0	-8
Matthew Dellavedova	MIL	04/22/2018	MIL vs. BOS	W	17	4	1	3	33.3	0	1	0.0	2	2	100.0	0	3	3	4	1	0	1	0	12
Bradley Beal	WAS	04/22/2018	WAS vs. TOR	W	32	31	10	19	52.6	5	7	71.4	6	7	85.7	2	3	5	2	0	0	4	6	5
Kevin Love	CLE	04/22/2018	CLE @ IND	W	29	5	2	10	20.0	0	3	0.0	1	2	50.0	5	6	11	1	2	1	2	3	3
Kelly Oubre Jr.	WAS	04/22/2018	WAS vs. TOR	W	24	10	2	6	33.3	0	1	0.0	6	7	85.7	0	5	5	2	2	0	1	2	5
Andre Iguodala	GSW	04/22/2018	GSW @ SAS	L	26	4	0	3	0.0	0	1	0.0	4	4	100.0	2	4	6	2	1	0	2	4	-5
Guerschon Yabusele	BOS	04/22/2018	BOS @ MIL	L	6	0	0	1	0.0	0	1	0.0	0	0	-	0	0	0	0	0	0	0	4	-2
Nick Young	GSW	04/22/2018	GSW @ SAS	L	9	0	0	1	0.0	0	1	0.0	0	0	-	0	0	0	0	0	0	0	1	0
Rodney Hood	CLE	04/22/2018	CLE @ IND	W	14	6	1	2	50.0	0	0	-	4	4	100.0	0	0	0	0	0	0	1	2	-2
Thaddeus Young	IND	04/22/2018	IND vs. CLE	L	39	12	5	12	41.7	1	2	50.0	1	4	25.0	4	12	16	1	3	2	0	3	-6
Bojan Bogdanovic	IND	04/22/2018	IND vs. CLE	L	34	10	4	13	30.8	2	8	25.0	0	0	-	0	6	6	2	0	0	1	3	-2
CJ Miles	TOR	04/22/2018	TOR @ WAS	L	21	2	1	4	25.0	0	3	0.0	0	0	-	0	1	1	1	1	0	3	3	1
DeMar DeRozan	TOR	04/22/2018	TOR @ WAS	L	38	35	10	29	34.5	1	4	25.0	14	18	77.8	1	5	6	6	1	0	4	2	-12
Kyle Korver	CLE	04/22/2018	CLE @ IND	W	26	18	4	9	44.4	4	9	44.4	6	7	85.7	0	3	3	1	0	2	0	1	5
John Wall	WAS	04/22/2018	WAS vs. TOR	W	43	27	10	24	41.7	0	1	0.0	7	10	70.0	0	6	6	14	4	0	4	2	9
Dejounte Murray	SAS	04/22/2018	SAS vs. GSW	W	26	12	4	8	50.0	3	4	75.0	1	2	50.0	1	3	4	2	1	1	1	1	4
Eric Bledsoe	MIL	04/22/2018	MIL vs. BOS	W	31	9	3	9	33.3	1	2	50.0	2	3	66.7	0	1	1	5	1	2	1	3	-10
Trevor Booker	IND	04/22/2018	IND vs. CLE	L	7	2	0	0	-	0	0	-	2	2	100.0	1	1	2	0	0	0	0	0	-4
Ty Lawson	WAS	04/22/2018	WAS vs. TOR	W	15	0	0	4	0.0	0	0	-	0	0	-	0	1	1	1	2	0	0	0	-8
Jayson Tatum	BOS	04/22/2018	BOS @ MIL	L	36	21	7	16	43.8	2	5	40.0	5	6	83.3	2	1	3	3	2	0	1	4	0
Jakob Poeltl	TOR	04/22/2018	TOR @ WAS	L	24	10	4	6	66.7	0	0	-	2	2	100.0	3	4	7	1	1	0	2	6	3
Khris Middleton	MIL	04/22/2018	MIL vs. BOS	W	37	23	8	14	57.1	3	5	60.0	4	4	100.0	0	6	6	2	2	2	2	3	0
Marcus Morris	BOS	04/22/2018	BOS @ MIL	L	26	13	4	14	28.6	1	1	100.0	4	6	66.7	2	2	4	0	0	0	1	5	-10
Markieff Morris	WAS	04/22/2018	WAS vs. TOR	W	31	6	3	7	42.9	0	1	0.0	0	0	-	2	3	5	1	1	3	1	4	16
Tony Snell	MIL	04/22/2018	MIL vs. BOS	W	18	3	1	2	50.0	1	2	50.0	0	0	-	0	2	2	3	0	0	1	3	11
Thon Maker	MIL	04/22/2018	MIL vs. BOS	W	31	8	3	6	50.0	2	5	40.0	0	0	-	0	2	2	1	0	5	1	3	4
Jabari Parker	MIL	04/22/2018	MIL vs. BOS	W	25	16	5	10	50.0	2	3	66.7	4	6	66.7	0	7	7	1	2	3	0	2	10
Myles Turner	IND	04/22/2018	IND vs. CLE	L	23	17	7	9	77.8	3	4	75.0	0	0	-	0	2	2	0	1	0	1	4	-4
Delon Wright	TOR	04/22/2018	TOR @ WAS	L	27	7	3	7	42.9	1	3	33.3	0	0	-	1	2	3	5	1	1	0	1	1
Draymond Green	GSW	04/22/2018	GSW @ SAS	L	42	9	4	14	28.6	1	6	16.7	0	0	-	8	10	18	9	1	0	5	4	-13
Marcin Gortat	WAS	04/22/2018	WAS vs. TOR	W	28	12	6	8	75.0	0	0	-	0	3	0.0	1	5	6	1	0	0	1	3	14
Tomas Satoransky	WAS	04/22/2018	WAS vs. TOR	W	6	0	0	1	0.0	0	1	0.0	0	0	-	1	0	1	0	0	0	0	1	-6
Danny Green	SAS	04/22/2018	SAS vs. GSW	W	21	6	2	7	28.6	2	5	40.0	0	0	-	2	0	2	0	0	1	0	2	-3
Tristan Thompson	CLE	04/22/2018	CLE @ IND	W	7	0	0	1	0.0	0	0	-	0	0	-	0	1	1	1	0	0	1	1	7
Pascal Siakam	TOR	04/22/2018	TOR @ WAS	L	18	3	1	4	25.0	0	0	-	1	2	50.0	0	3	3	0	0	3	0	0	-3
JR Smith	CLE	04/22/2018	CLE @ IND	W	35	12	4	12	33.3	4	10	40.0	0	0	-	0	6	6	0	0	0	2	3	2
Lance Stephenson	IND	04/22/2018	IND vs. CLE	L	23	11	5	11	45.5	1	4	25.0	0	0	-	1	1	2	6	1	1	1	4	0
Cory Joseph	IND	04/22/2018	IND vs. CLE	L	16	0	0	2	0.0	0	1	0.0	0	0	-	1	1	2	3	1	0	0	2	-9
Patty Mills	SAS	04/22/2018	SAS vs. GSW	W	36	9	3	8	37.5	3	7	42.9	0	1	0.0	0	0	0	5	1	0	1	4	21
Jeff Green	CLE	04/22/2018	CLE @ IND	W	24	8	3	5	60.0	1	2	50.0	1	2	50.0	0	4	4	4	0	1	1	1	7
Tony Parker	SAS	04/22/2018	SAS vs. GSW	W	16	9	4	7	57.1	0	0	-	1	2	50.0	0	0	0	2	1	0	1	0	-8
Jordan Clarkson	CLE	04/22/2018	CLE @ IND	W	22	12	5	9	55.6	2	3	66.7	0	0	-	0	2	2	1	0	0	1	2	-2
Shaun Livingston	GSW	04/22/2018	GSW @ SAS	L	21	10	5	9	55.6	0	0	-	0	0	-	1	2	3	2	2	0	0	3	-10
Al Horford	BOS	04/22/2018	BOS @ MIL	L	37	13	4	8	50.0	0	1	0.0	5	5	100.0	4	5	9	4	0	2	2	2	3
Serge Ibaka	TOR	04/22/2018	TOR @ WAS	L	34	7	2	5	40.0	1	2	50.0	2	4	50.0	2	8	10	0	1	2	4	3	-11
Kyle Lowry	TOR	04/22/2018	TOR @ WAS	L	39	19	7	15	46.7	4	6	66.7	1	1	100.0	0	7	7	5	2	0	2	5	-10
Darren Collison	IND	04/22/2018	IND vs. CLE	L	32	12	5	14	35.7	1	5	20.0	1	1	100.0	0	5	5	8	1	0	0	1	5
Victor Oladipo	IND	04/22/2018	IND vs. CLE	L	41	17	5	20	25.0	3	8	37.5	4	5	80.0	1	5	6	5	0	2	3	1	0
Quinn Cook	GSW	04/22/2018	GSW @ SAS	L	15	4	1	2	50.0	0	1	0.0	2	2	100.0	0	1	1	1	0	1	0	1	-3
JaVale McGee	GSW	04/22/2018	GSW @ SAS	L	17	7	3	6	50.0	0	0	-	1	2	50.0	3	4	7	0	0	0	2	3	-2
Terry Rozier	BOS	04/22/2018	BOS @ MIL	L	36	10	3	12	25.0	2	10	20.0	2	2	100.0	0	5	5	8	1	1	1	2	4
Kevon Looney	GSW	04/22/2018	GSW @ SAS	L	13	2	1	5	20.0	0	0	-	0	0	-	5	0	5	1	0	0	0	2	-3
Pau Gasol	SAS	04/22/2018	SAS vs. GSW	W	19	5	1	2	50.0	1	1	100.0	2	2	100.0	0	5	5	4	0	0	1	0	3
Jose Calderon	CLE	04/22/2018	CLE @ IND	W	19	5	2	4	50.0	1	2	50.0	0	0	-	0	2	2	2	0	0	1	2	-1
Rudy Gay	SAS	04/22/2018	SAS vs. GSW	W	37	14	7	15	46.7	0	2	0.0	0	1	0.0	2	5	7	2	2	0	1	3	16
Davis Bertans	SAS	04/22/2018	SAS vs. GSW	W	3	0	0	1	0.0	0	1	0.0	0	0	-	0	0	0	0	0	0	1	1	-1
Klay Thompson	GSW	04/22/2018	GSW @ SAS	L	42	12	4	16	25.0	2	6	33.3	2	2	100.0	2	3	5	1	1	0	3	2	-18
Kevin Durant	GSW	04/22/2018	GSW @ SAS	L	41	34	12	28	42.9	4	13	30.8	6	7	85.7	1	12	13	2	0	1	3	0	-6
LaMarcus Aldridge	SAS	04/22/2018	SAS vs. GSW	W	38	22	7	19	36.8	3	3	100.0	5	5	100.0	2	8	10	0	1	1	1	2	6
Shane Larkin	BOS	04/22/2018	BOS @ MIL	L	17	0	0	1	0.0	0	0	-	0	0	-	0	0	0	4	0	0	0	0	-14
Malcolm Brogdon	MIL	04/22/2018	MIL vs. BOS	W	31	10	4	7	57.1	1	3	33.3	1	1	100.0	0	4	4	2	0	0	1	2	-3
Jaylen Brown	BOS	04/22/2018	BOS @ MIL	L	41	34	13	24	54.2	5	8	62.5	3	4	75.0	2	6	8	1	3	0	1	2	10
Mike Scott	WAS	04/22/2018	WAS vs. TOR	W	15	4	2	5	40.0	0	3	0.0	0	0	-	1	1	2	1	0	1	1	3	1
Jonas Valanciunas	TOR	04/22/2018	TOR @ WAS	L	15	11	4	6	66.7	0	0	-	3	3	100.0	1	2	3	0	0	1	3	3	-5
David West	GSW	04/22/2018	GSW @ SAS	L	14	8	4	6	66.7	0	0	-	0	0	-	2	1	3	1	1	0	1	2	-5
Giannis Antetokounmpo	MIL	04/22/2018	MIL vs. BOS	W	40	27	12	20	60.0	0	2	0.0	3	6	50.0	2	5	7	5	0	0	2	4	-8
Aron Baynes	BOS	04/22/2018	BOS @ MIL	L	19	9	4	6	66.7	0	1	0.0	1	2	50.0	5	6	11	2	0	0	1	2	3
OG Anunoby	TOR	04/22/2018	TOR @ WAS	L	22	4	2	3	66.7	0	0	-	0	0	-	1	0	1	1	2	0	0	3	-4
Semi Ojeleye	BOS	04/22/2018	BOS @ MIL	L	17	2	1	4	25.0	0	2	0.0	0	0	-	0	1	1	0	0	0	0	0	4
Manu Ginobili	SAS	04/22/2018	SAS vs. GSW	W	25	16	5	10	50.0	3	5	60.0	3	4	75.0	0	3	3	5	0	0	1	3	18
Ben Simmons	PHI	04/21/2018	PHI @ MIA	W	39	17	8	13	61.5	0	0	-	1	4	25.0	4	9	13	10	4	0	7	3	3
Evan Turner	POR	04/21/2018	POR @ NOP	L	36	15	6	12	50.0	1	3	33.3	2	2	100.0	0	1	1	5	0	0	2	4	2
Ian Clark	NOP	04/21/2018	NOP vs. POR	W	11	3	1	3	33.3	1	3	33.3	0	0	-	0	1	1	0	0	0	0	4	-1
Karl-Anthony Towns	MIN	04/21/2018	MIN vs. HOU	W	39	18	5	13	38.5	1	2	50.0	7	7	100.0	3	13	16	3	1	2	3	4	6
Derrick Rose	MIN	04/21/2018	MIN vs. HOU	W	21	17	8	16	50.0	1	2	50.0	0	0	-	0	0	0	2	2	0	1	1	13
Andrew Wiggins	MIN	04/21/2018	MIN vs. HOU	W	35	20	7	11	63.6	4	6	66.7	2	4	50.0	2	3	5	5	1	1	1	1	5
T.J. McConnell	PHI	04/21/2018	PHI @ MIA	W	9	2	1	2	50.0	0	0	-	0	0	-	0	4	4	0	0	0	3	1	1
Anthony Davis	NOP	04/21/2018	NOP vs. POR	W	39	47	15	23	65.2	2	4	50.0	15	17	88.2	4	6	10	1	0	3	2	4	15
Jae Crowder	UTA	04/21/2018	UTA vs. OKC	W	23	4	2	5	40.0	0	3	0.0	0	0	-	0	1	1	0	2	0	1	2	-11
Wayne Ellington	MIA	04/21/2018	MIA vs. PHI	L	21	10	3	7	42.9	3	6	50.0	1	1	100.0	1	1	2	1	1	0	2	2	-6
Tarik Black	HOU	04/21/2018	HOU @ MIN	L	2	0	0	0	-	0	0	-	0	0	-	0	1	1	1	0	0	0	0	0
Alec Burks	UTA	04/21/2018	UTA vs. OKC	W	2	2	1	2	50.0	0	1	0.0	0	0	-	0	0	0	0	0	0	0	0	-5
JJ Redick	PHI	04/21/2018	PHI @ MIA	W	34	24	8	18	44.4	2	9	22.2	6	6	100.0	0	1	1	3	3	0	1	2	7
Zach Collins	POR	04/21/2018	POR @ NOP	L	14	2	1	6	16.7	0	2	0.0	0	0	-	0	1	1	3	1	0	0	2	-8
CJ McCollum	POR	04/21/2018	POR @ NOP	L	45	38	15	22	68.2	2	3	66.7	6	7	85.7	0	2	2	3	0	0	2	5	-9
Jusuf Nurkic	POR	04/21/2018	POR @ NOP	L	33	18	9	13	69.2	0	0	-	0	0	-	5	6	11	2	3	2	0	6	2
Tyus Jones	MIN	04/21/2018	MIN vs. HOU	W	7	2	1	1	100.0	0	0	-	0	0	-	0	2	2	1	0	0	0	0	3
Nene	HOU	04/21/2018	HOU @ MIN	L	11	4	2	2	100.0	0	0	-	0	0	-	0	2	2	0	0	0	1	1	-7
Goran Dragic	MIA	04/21/2018	MIA vs. PHI	L	37	20	9	19	47.4	1	3	33.3	1	4	25.0	0	1	1	3	4	0	5	2	-4
Dario Saric	PHI	04/21/2018	PHI @ MIA	W	29	11	4	13	30.8	1	4	25.0	2	2	100.0	6	2	8	2	0	0	2	4	-11
Dwyane Wade	MIA	04/21/2018	MIA vs. PHI	L	26	25	10	22	45.5	0	0	-	5	6	83.3	1	2	3	1	3	0	2	3	-5
Marco Belinelli	PHI	04/21/2018	PHI @ MIA	W	27	10	3	7	42.9	1	4	25.0	3	3	100.0	0	2	2	2	1	0	0	2	3
Steven Adams	OKC	04/21/2018	OKC @ UTA	L	26	8	4	6	66.7	0	0	-	0	0	-	0	2	2	0	0	1	1	4	-2
Bam Adebayo	MIA	04/21/2018	MIA vs. PHI	L	16	2	1	3	33.3	0	0	-	0	2	0.0	3	2	5	0	0	1	1	3	-6
Ryan Anderson	HOU	04/21/2018	HOU @ MIN	L	18	12	4	6	66.7	4	6	66.7	0	0	-	1	2	3	1	1	1	2	1	-12
Eric Gordon	HOU	04/21/2018	HOU @ MIN	L	34	15	5	16	31.3	3	9	33.3	2	3	66.7	2	0	2	1	0	0	1	2	-13
Joe Ingles	UTA	04/21/2018	UTA vs. OKC	W	32	21	7	15	46.7	5	10	50.0	2	2	100.0	1	2	3	4	1	0	1	4	25
Russell Westbrook	OKC	04/21/2018	OKC @ UTA	L	37	14	5	17	29.4	1	4	25.0	3	4	75.0	1	10	11	9	2	0	8	2	-25
Ed Davis	POR	04/21/2018	POR @ NOP	L	13	1	0	1	0.0	0	0	-	1	2	50.0	0	5	5	0	0	0	0	2	-8
Taj Gibson	MIN	04/21/2018	MIN vs. HOU	W	25	2	1	4	25.0	0	0	-	0	0	-	2	2	4	1	0	0	0	2	6
Joel Embiid	PHI	04/21/2018	PHI @ MIA	W	31	14	2	11	18.2	0	4	0.0	10	13	76.9	2	10	12	1	1	5	8	4	-5
Al-Farouq Aminu	POR	04/21/2018	POR @ NOP	L	35	27	11	20	55.0	5	11	45.5	0	0	-	1	5	6	1	2	0	0	4	0
PJ Tucker	HOU	04/21/2018	HOU @ MIN	L	23	4	1	6	16.7	0	4	0.0	2	2	100.0	0	5	5	1	0	1	1	1	-7
David Stockton	UTA	04/21/2018	UTA vs. OKC	W	1	0	0	0	-	0	0	-	0	0	-	0	0	0	0	0	0	0	0	-5
Aaron Brooks	MIN	04/21/2018	MIN vs. HOU	W	1	0	0	1	0.0	0	1	0.0	0	0	-	0	0	0	0	0	0	0	0	0
Josh Richardson	MIA	04/21/2018	MIA vs. PHI	L	35	10	4	11	36.4	1	3	33.3	1	2	50.0	3	2	5	7	7	1	0	4	6
Jrue Holiday	NOP	04/21/2018	NOP vs. POR	W	41	41	15	23	65.2	2	7	28.6	9	12	75.0	1	2	3	8	0	0	7	1	3
Ekpe Udoh	UTA	04/21/2018	UTA vs. OKC	W	2	0	0	0	-	0	0	-	0	0	-	0	0	0	0	0	0	1	1	-4
Donovan Mitchell	UTA	04/21/2018	UTA vs. OKC	W	35	22	9	20	45.0	4	7	57.1	0	0	-	2	9	11	2	2	1	5	4	15
Corey Brewer	OKC	04/21/2018	OKC @ UTA	L	28	9	3	6	50.0	1	2	50.0	2	2	100.0	2	4	6	1	1	1	1	4	-20
Dante Exum	UTA	04/21/2018	UTA vs. OKC	W	10	4	2	4	50.0	0	1	0.0	0	0	-	0	2	2	2	0	0	3	1	-4
Patrick Patterson	OKC	04/21/2018	OKC @ UTA	L	20	8	3	3	100.0	2	2	100.0	0	0	-	0	3	3	0	1	0	3	3	-10
Robert Covington	PHI	04/21/2018	PHI @ MIA	W	27	10	3	5	60.0	2	3	66.7	2	2	100.0	0	6	6	2	1	0	2	5	2
Damian Lillard	POR	04/21/2018	POR @ NOP	L	45	19	7	16	43.8	1	5	20.0	4	5	80.0	0	5	5	6	2	0	1	3	-7
Zhou Qi	HOU	04/21/2018	HOU @ MIN	L	2	0	0	0	-	0	0	-	0	0	-	0	0	0	0	0	0	0	0	0
Nemanja Bjelica	MIN	04/21/2018	MIN vs. HOU	W	3	0	0	1	0.0	0	1	0.0	0	0	-	1	0	1	0	0	0	0	0	-3
Josh Huestis	OKC	04/21/2018	OKC @ UTA	L	2	2	1	1	100.0	0	0	-	0	0	-	0	0	0	0	0	0	0	0	5
Rajon Rondo	NOP	04/21/2018	NOP vs. POR	W	35	7	3	7	42.9	0	1	0.0	1	1	100.0	0	7	7	16	0	0	2	2	12
Ersan Ilyasova	PHI	04/21/2018	PHI @ MIA	W	23	10	4	10	40.0	1	6	16.7	1	3	33.3	3	5	8	1	1	0	2	1	16
Derrick Favors	UTA	04/21/2018	UTA vs. OKC	W	34	11	4	5	80.0	0	0	-	3	6	50.0	3	2	5	2	1	1	1	1	26
Solomon Hill	NOP	04/21/2018	NOP vs. POR	W	17	6	1	2	50.0	1	2	50.0	3	4	75.0	1	3	4	1	0	0	1	3	-7
Trevor Ariza	HOU	04/21/2018	HOU @ MIN	L	34	6	2	5	40.0	2	5	40.0	0	0	-	0	4	4	0	2	0	0	0	-8
Rudy Gobert	UTA	04/21/2018	UTA vs. OKC	W	41	18	6	8	75.0	0	0	-	6	8	75.0	5	7	12	2	1	1	1	3	19
Gerald Green	HOU	04/21/2018	HOU @ MIN	L	21	10	4	8	50.0	2	6	33.3	0	0	-	0	1	1	0	0	0	0	4	-18
Amir Johnson	PHI	04/21/2018	PHI @ MIA	W	11	8	3	4	75.0	0	0	-	2	2	100.0	1	0	1	1	1	0	1	1	7
Chris Paul	HOU	04/21/2018	HOU @ MIN	L	30	17	7	11	63.6	1	3	33.3	2	2	100.0	0	3	3	6	0	0	1	6	-5
Wade Baldwin IV	POR	04/21/2018	POR @ NOP	L	8	3	1	3	33.3	1	1	100.0	0	0	-	0	2	2	0	0	0	1	1	1
Nikola Mirotic	NOP	04/21/2018	NOP vs. POR	W	41	10	4	8	50.0	1	3	33.3	1	2	50.0	0	11	11	1	2	3	1	3	8
Ricky Rubio	UTA	04/21/2018	UTA vs. OKC	W	37	26	9	18	50.0	2	9	22.2	6	7	85.7	1	10	11	10	2	1	4	1	22
Justise Winslow	MIA	04/21/2018	MIA vs. PHI	L	20	7	3	9	33.3	1	3	33.3	0	2	0.0	2	4	6	3	1	0	2	5	-1
Gorgui Dieng	MIN	04/21/2018	MIN vs. HOU	W	9	5	2	3	66.7	1	1	100.0	0	0	-	0	0	0	2	2	0	0	1	10
Kelly Olynyk	MIA	04/21/2018	MIA vs. PHI	L	9	0	0	1	0.0	0	0	-	0	0	-	0	0	0	0	1	0	0	3	-3
Jonas Jerebko	UTA	04/21/2018	UTA vs. OKC	W	6	0	0	0	-	0	0	-	0	0	-	1	1	2	0	1	0	1	1	-10
Pat Connaughton	POR	04/21/2018	POR @ NOP	L	10	0	0	2	0.0	0	2	0.0	0	0	-	0	0	0	0	0	0	0	1	-13
E'Twaun Moore	NOP	04/21/2018	NOP vs. POR	W	35	14	5	10	50.0	1	3	33.3	3	3	100.0	0	3	3	1	3	0	1	3	7
Jimmy Butler	MIN	04/21/2018	MIN vs. HOU	W	41	28	10	19	52.6	4	6	66.7	4	6	66.7	0	7	7	5	1	0	1	2	19
Jeff Teague	MIN	04/21/2018	MIN vs. HOU	W	41	23	9	14	64.3	3	5	60.0	2	3	66.7	0	3	3	8	1	0	1	4	13
Justin Anderson	PHI	04/21/2018	PHI @ MIA	W	9	0	0	1	0.0	0	1	0.0	0	0	-	1	1	2	0	0	0	0	2	-3
James Johnson	MIA	04/21/2018	MIA vs. PHI	L	36	15	5	12	41.7	1	4	25.0	4	5	80.0	1	7	8	5	1	1	3	4	-10
Hassan Whiteside	MIA	04/21/2018	MIA vs. PHI	L	26	13	6	9	66.7	0	0	-	1	3	33.3	2	11	13	0	0	1	4	4	6
Dakari Johnson	OKC	04/21/2018	OKC @ UTA	L	2	0	0	0	-	0	0	-	0	0	-	0	0	0	0	0	0	0	0	5
Tyler Johnson	MIA	04/21/2018	MIA vs. PHI	L	13	0	0	1	0.0	0	0	-	0	0	-	0	0	0	1	0	0	0	2	3
Paul George	OKC	04/21/2018	OKC @ UTA	L	40	23	7	16	43.8	3	8	37.5	6	6	100.0	0	2	2	3	2	0	3	2	-15
Darius Miller	NOP	04/21/2018	NOP vs. POR	W	23	3	1	2	50.0	1	2	50.0	0	0	-	1	3	4	0	0	0	0	1	3
James Harden	HOU	04/21/2018	HOU @ MIN	L	36	29	9	21	42.9	3	8	37.5	8	10	80.0	0	7	7	7	1	0	4	2	-3
Terrance Ferguson	OKC	04/21/2018	OKC @ UTA	L	2	3	1	1	100.0	1	1	100.0	0	0	-	1	0	1	1	0	0	0	0	5
Alex Abrines	OKC	04/21/2018	OKC @ UTA	L	13	0	0	2	0.0	0	1	0.0	0	0	-	0	0	0	1	0	0	0	2	9
Clint Capela	HOU	04/21/2018	HOU @ MIN	L	27	7	3	6	50.0	0	0	-	1	6	16.7	4	7	11	1	0	1	0	1	-7
