
PLAYER	TEAM	DATE	MATCHUP	W/L	MIN	PTS	FGM	FGA	FG%	3PM	3PA	3P%	FTM	FTA	FT%	OREB	DREB	REB	AST	STL	BLK	TOV	PF	+/-
Jamal Crawford	MIN	04/25/2018	MIN @ HOU	L	26	20	8	10	80.0	2	3	66.7	2	2	100.0	0	2	2	2	1	0	3	1	-6
Chris Paul	HOU	04/25/2018	HOU vs. MIN	W	34	12	6	16	37.5	0	8	0.0	0	0	-	0	5	5	9	0	0	0	1	4
Ricky Rubio	UTA	04/25/2018	UTA @ OKC	L	36	10	4	14	28.6	2	5	40.0	0	2	0.0	1	11	12	7	0	0	4	4	-12
Marcin Gortat	WAS	04/25/2018	WAS @ TOR	L	34	10	4	9	44.4	0	0	-	2	2	100.0	5	7	12	2	0	1	1	4	-7
Dante Exum	UTA	04/25/2018	UTA @ OKC	L	2	0	0	0	-	0	0	-	0	0	-	0	0	0	0	0	0	0	0	-1
Larry Nance Jr.	CLE	04/25/2018	CLE vs. IND	W	19	5	2	3	66.7	0	0	-	1	2	50.0	1	2	3	1	0	1	0	2	-2
Delon Wright	TOR	04/25/2018	TOR vs. WAS	W	26	18	6	10	60.0	2	2	100.0	4	4	100.0	0	5	5	1	2	1	2	0	13
Bojan Bogdanovic	IND	04/25/2018	IND @ CLE	L	33	11	4	9	44.4	3	5	60.0	0	0	-	1	0	1	3	1	0	4	3	-5
Jeff Green	CLE	04/25/2018	CLE vs. IND	W	20	5	2	3	66.7	1	2	50.0	0	0	-	0	2	2	1	0	0	0	1	0
Jonas Valanciunas	TOR	04/25/2018	TOR vs. WAS	W	32	14	5	13	38.5	0	0	-	4	4	100.0	4	9	13	2	1	2	0	1	19
Ian Mahinmi	WAS	04/25/2018	WAS @ TOR	L	8	2	1	1	100.0	0	0	-	0	0	-	1	2	3	0	1	0	0	0	1
Carmelo Anthony	OKC	04/25/2018	OKC vs. UTA	W	25	7	2	6	33.3	0	2	0.0	3	4	75.0	0	5	5	0	2	0	0	2	-6
Jerami Grant	OKC	04/25/2018	OKC vs. UTA	W	23	4	2	2	100.0	0	0	-	0	0	-	1	1	2	0	1	0	0	1	13
Ryan Anderson	HOU	04/25/2018	HOU vs. MIN	W	10	5	2	3	66.7	1	2	50.0	0	0	-	1	2	3	1	0	0	0	0	4
Clint Capela	HOU	04/25/2018	HOU vs. MIN	W	33	26	12	14	85.7	0	0	-	2	4	50.0	4	11	15	1	0	1	0	1	15
Domantas Sabonis	IND	04/25/2018	IND @ CLE	L	33	22	8	12	66.7	0	0	-	6	8	75.0	1	4	5	2	1	0	1	2	2
Jonas Jerebko	UTA	04/25/2018	UTA @ OKC	L	5	0	0	0	-	0	0	-	0	0	-	0	0	0	0	0	0	0	2	-4
Royce O'Neale	UTA	04/25/2018	UTA @ OKC	L	20	0	0	3	0.0	0	3	0.0	0	0	-	0	1	1	2	0	1	1	2	0
Derrick Rose	MIN	04/25/2018	MIN @ HOU	L	24	12	3	7	42.9	2	3	66.7	4	4	100.0	0	0	0	2	0	0	0	3	-4
